Date,Stock1,Stock2,Stock3
2014-09-12,29.45,8.51,13.69
2014-09-15,28.85,8.4,13.56
2014-09-16,28.2,8.3,13.39
2014-09-17,28.55,8.17,13.39
2014-09-18,28.15,8.05,13.33
2014-09-19,28.2,7.9,13.25
2014-09-22,27.7,7.5,12.79
2014-09-23,27.5,7.75,13.07
2014-09-24,27.75,7.54,13.01
2014-09-25,27.75,7.54,13.13
2014-09-26,27.3,7.4,12.93
2014-09-29,27.6,7.21,12.87
2014-09-30,27.3,7.27,12.87
2014-10-03,27.5,7.92,13.61
2014-10-06,27.65,7.82,13.59
2014-10-07,27.6,7.68,13.5
2014-10-08,27.75,7.71,13.69
2014-10-09,27.9,7.96,13.98
2014-10-10,27.45,7.97,13.98
2014-10-13,27.55,7.68,13.86
2014-10-14,27.3,7.77,13.92
2014-10-15,27.4,7.72,14.01
2014-10-16,27,7.48,13.71
2014-10-17,27.1,7.64,14.02
2014-10-20,27.45,7.71,14.31
2014-10-21,27.25,7.73,14.34
2014-10-22,27.4,7.8,14.51
2014-10-23,27.45,7.83,14.65
2014-10-24,27.65,7.82,14.77
2014-10-27,27.6,7.85,14.8
2014-10-28,28.7,7.89,15.22
2014-10-29,29.25,8.12,15.73
2014-10-30,28.65,8,15.46
2014-10-31,29,8.07,15.72
2014-11-03,28.75,8.5,16.08
2014-11-04,28.85,8.79,16.49
2014-11-05,28.7,8.56,16.23
2014-11-06,28.65,8.24,16.01
2014-11-07,28.45,7.93,15.69
2014-11-10,28.1,8.16,15.88
2014-11-11,28.45,8.02,15.94
2014-11-12,28.85,7.94,16.1
2014-11-13,29.75,8.09,16.59
2014-11-14,29.45,8.03,16.6
2014-11-17,28.75,7.97,16.5
2014-11-18,28.15,7.71,16.1
2014-11-19,28.3,7.56,16.07
2014-11-20,28.35,7.1,15.66
2014-11-21,28.5,7.27,15.98
2014-11-24,30.85,7.8,17.36
2014-11-25,30.45,7.95,17.52
2014-11-26,32.35,7.94,18.17
2014-11-27,32.5,7.74,18.11
2014-11-28,32.5,7.83,18.37
2014-12-01,31.5,7.52,17.86
2014-12-02,33.15,8.15,19.14
2014-12-03,32.95,8.22,19.25
2014-12-04,35.45,8.23,20.06
2014-12-05,35.4,8.24,20.12
2014-12-08,36.05,8.14,20.36
2014-12-09,33.95,7.65,19.28
2014-12-10,33.55,7.7,19.37
2014-12-11,32.65,7.4,18.79
2014-12-12,32.5,7.57,19.08
2014-12-15,33.2,7.43,19.26
2014-12-16,34.2,7.33,19.57
2014-12-17,34.45,7.21,19.48
2014-12-18,35,7.06,19.56
2014-12-19,34.6,6.34,18.6
2014-12-22,35.5,6.34,18.87
2014-12-23,35.6,6.34,19.06
2014-12-24,34.85,7.65,20.91
2014-12-29,39.1,7.46,21.89
2014-12-30,39.3,7.47,22.08
2014-12-31,39.4,7.7,22.66
2015-01-02,39.85,7.7,22.92
2015-01-05,39.15,8.11,23.43
2015-01-06,37.85,7.81,22.78
2015-01-07,37.3,7.52,22.36
2015-01-08,38.1,7.42,22.61
2015-01-09,38,7.5,22.91
2015-01-12,38.3,7.34,22.92
2015-01-13,37.7,7.32,22.84
2015-01-14,37.4,7.34,22.82
2015-01-15,38.65,7.19,23.11
2015-01-16,38.75,7.11,23.05
2015-01-19,35.45,6.72,21.54
2015-01-20,36.75,6.98,22.42
2015-01-21,38.9,7.1,23.42
2015-01-22,38.35,7.08,23.38
